codigo_montante_newave;nome_montante_newave;id_montante_cobre;nome_montante_cobre;codigo_jusante_newave;nome_jusante_newave;id_jusante_cobre_esperado;id_jusante_cobre_encontrado;nome_jusante_cobre_encontrado;codigo_canal_desvio_newave;nome_canal_desvio_newave;id_canal_desvio_cobre_esperado;id_canal_desvio_cobre_encontrado;nome_canal_desvio_cobre_encontrado;resultado_cascata;resultado_canal_desvio;resultado;detalhe
90;CAMPOS NOVOS;61;CAMPOS NOVOS;91;MACHADINHO;62;62;MACHADINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CAMPOS NOVOS → MACHADINHO coincide nos dois modelos.
91;MACHADINHO;62;MACHADINHO;92;ITA;63;63;ITA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação MACHADINHO → ITA coincide nos dois modelos.
92;ITA;63;ITA;103;FOZ CHAPECO;73;73;FOZ CHAPECO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITA → FOZ CHAPECO coincide nos dois modelos.
93;PASSO FUNDO;64;PASSO FUNDO;94;MONJOLINHO;65;65;MONJOLINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PASSO FUNDO → MONJOLINHO coincide nos dois modelos.
94;MONJOLINHO;65;MONJOLINHO;103;FOZ CHAPECO;73;73;FOZ CHAPECO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação MONJOLINHO → FOZ CHAPECO coincide nos dois modelos.
95;QUEBRA QUEIX;66;QUEBRA QUEIX;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
101;SAO JOSE;71;SAO JOSE;102;PASSO S JOAO;72;72;PASSO S JOAO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SAO JOSE → PASSO S JOAO coincide nos dois modelos.
102;PASSO S JOAO;72;PASSO S JOAO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
103;FOZ CHAPECO;73;FOZ CHAPECO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
97;CASTRO ALVES;68;CASTRO ALVES;98;MONTE CLARO;69;69;MONTE CLARO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CASTRO ALVES → MONTE CLARO coincide nos dois modelos.
98;MONTE CLARO;69;MONTE CLARO;99;14 DE JULHO;70;70;14 DE JULHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação MONTE CLARO → 14 DE JULHO coincide nos dois modelos.
99;14 DE JULHO;70;14 DE JULHO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
110;ERNESTINA;74;ERNESTINA;111;PASSO REAL;75;75;PASSO REAL;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ERNESTINA → PASSO REAL coincide nos dois modelos.
111;PASSO REAL;75;PASSO REAL;112;JACUI;76;76;JACUI;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PASSO REAL → JACUI coincide nos dois modelos.
112;JACUI;76;JACUI;113;ITAUBA;77;77;ITAUBA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação JACUI → ITAUBA coincide nos dois modelos.
113;ITAUBA;77;ITAUBA;114;D. FRANCISCA;78;78;D. FRANCISCA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITAUBA → D. FRANCISCA coincide nos dois modelos.
114;D. FRANCISCA;78;D. FRANCISCA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
115;G.P. SOUZA;79;G.P. SOUZA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
215;SALTO PILAO;121;SALTO PILAO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
